순번,도로명주소,농촌도시구분,층수,연면적(제곱미터),전체주소,위도,경도
24,전라북도 군산시 미원3길 42-22 (둔율동),도시,1,60.0,전라북도 군산시 미원3길 42-22 (둔율동),35.9813714716298,126.715985041521
25,전라북도 군산시 둔배미길 3-10 (둔율동),도시,1,150.0,전라북도 군산시 둔배미길 3-10 (둔율동),35.9814047270164,126.714655546779
26,전라북도 군산시 둔율1길 10-17 (둔율동),도시,1,150.0,전라북도 군산시 둔율1길 10-17 (둔율동),35.9817088322913,126.714364824645
27,전라북도 군산시 거석길 5-9 (명산동),도시,1,100.0,전라북도 군산시 거석길 5-9 (명산동),35.9839650667201,126.709819549911
28,전라북도 군산시 명산길 2-4 (명산동),도시,1,100.0,전라북도 군산시 명산길 2-4 (명산동),35.9830886527348,126.710767057767
29,전라북도 군산시 창성1길 17-6 (송창동),도시,1,150.0,전라북도 군산시 창성1길 17-6 (송창동),35.9840571368126,126.71118666682
30,전라북도 군산시 오룡로 49-9 (송창동),도시,1,70.0,전라북도 군산시 오룡로 49-9 (송창동),35.9817553867637,126.709208466919
31,전라북도 군산시 창성3길 8-2 (개복동),도시,1,60.0,전라북도 군산시 창성3길 8-2 (개복동),35.9842921583551,126.713433489284
32,전라북도 군산시 중앙로1가 3-14,도시,1,50.0,전라북도 군산시 중앙로1가 3-14,35.9886861966381,126.709345826088
33,전라북도 군산시 중앙로1가 4-4,도시,1,120.0,전라북도 군산시 중앙로1가 4-4,35.9882620557885,126.708891059102
34,전라북도 군산시 구영2길 34-2 (영화동),도시,1,60.0,전라북도 군산시 구영2길 34-2 (영화동),35.9893670686281,126.70971449106
35,전라북도 군산시 구영6길 118-6 (영화동),도시,1,100.0,전라북도 군산시 구영6길 118-6 (영화동),35.9887412308989,126.71149861554
36,전라북도 군산시 신영2길 5-6 (신영동),도시,1,100.0,전라북도 군산시 신영2길 5-6 (신영동),35.9844832171072,126.718764590113
37,전라북도 군산시 신영3길 17 (죽성동),도시,1,90.0,전라북도 군산시 신영3길 17 (죽성동),35.9858613581625,126.718216675184
38,전라북도 군산시 중앙로 80-6 (중앙로3가),도시,1,60.0,전라북도 군산시 중앙로 80-6 (중앙로3가),35.981475568353,126.718818395652
39,전라북도 군산시 중앙로 22-2 (대명동),도시,1,70.0,전라북도 군산시 중앙로 22-2 (대명동),35.9852741502621,126.714760931386
40,전라북도 군산시 둔배미길 6-7 (미원동),도시,1,80.0,전라북도 군산시 둔배미길 6-7 (미원동),35.9809819504461,126.714765844343
41,전라북도 군산시 풍문3길 9-1 (미원동),도시,1,80.0,전라북도 군산시 풍문3길 9-1 (미원동),35.9792927750062,126.715984173573
42,전라북도 군산시 삼학6길 20 (미원동),도시,1,66.0,전라북도 군산시 삼학6길 20 (미원동),35.9780584375441,126.714537643111
43,전라북도 군산시 해망로 85-2 (중동),도시,1,59.0,전라북도 군산시 해망로 85-2 (중동),35.9832517317011,126.723907839584
44,전라북도 군산시 서래1길 5-6 (중동),도시,1,60.0,전라북도 군산시 서래1길 5-6 (중동),35.9825532235804,126.724905129204
45,전라북도 군산시 해망로 75-16 (중동),도시,1,69.0,전라북도 군산시 해망로 75-16 (중동),35.982668778842,126.723775034438
46,전라북도 군산시 서래3길 11 (중동),도시,1,35.0,전라북도 군산시 서래3길 11 (중동),35.9836602370659,126.725429215683
47,전라북도 군산시 서래5길 16-14 (중동),도시,1,35.0,전라북도 군산시 서래5길 16-14 (중동),35.9842686645568,126.725667843468
48,전라북도 군산시 해망로 110-7 (중동),도시,1,69.0,전라북도 군산시 해망로 110-7 (중동),35.9851163126555,126.724740323828
49,전라북도 군산시 서팔마길 27 (동흥남동),도시,1,35.0,전라북도 군산시 서팔마길 27 (동흥남동),35.9763030749537,126.718761347119
50,전라북도 군산시 서흥길 77-2 (서흥남동),도시,1,69.0,전라북도 군산시 서흥길 77-2 (서흥남동),35.9725585471076,126.714453560051
51,전라북도 군산시 법원로 55-4 (조촌동),도시,1,35.0,전라북도 군산시 법원로 55-4 (조촌동),35.9674317399916,126.740008415719
52,전라북도 군산시 번영로 115-8 (경장동),도시,1,1812.0,전라북도 군산시 번영로 115-8 (경장동),35.9684686440652,126.733288265538
53,전라북도 군산시 경암동 572-110,도시,1,259.0,전라북도 군산시 경암동 572-110,35.9820677453683,126.7236571527
54,전라북도 군산시 천변길 9-13 (경암동),도시,1,1.0,전라북도 군산시 천변길 9-13 (경암동),35.9808362945784,126.726565671965
55,전라북도 군산시 서래안2길 3-10 (경암동),도시,1,174.0,전라북도 군산시 서래안2길 3-10 (경암동),35.9820242602011,126.725837169636
56,전라북도 군산시 서래안1길 12-3 (경암동),도시,1,59.0,전라북도 군산시 서래안1길 12-3 (경암동),35.9819871487624,126.725490897056
59,전라북도 군산시 경암2길 58-16 (경암동),도시,1,51.0,전라북도 군산시 경암2길 58-16 (경암동),35.9786597978186,126.729180613558
60,전라북도 군산시 경포천동길 32-2 (경암동),도시,1,59.0,전라북도 군산시 경포천동길 32-2 (경암동),35.9761898638692,126.726829616772
61,전라북도 군산시 외산3길 21 (구암동),도시,1,16.0,전라북도 군산시 외산3길 21 (구암동),35.9853200456683,126.742084014703
62,전라북도 군산시 야촌길 20-4 (내흥동),도시,1,17.0,전라북도 군산시 야촌길 20-4 (내흥동),35.9924177239699,126.763343323773
63,전라북도 군산시 쌍천로 9 (개정동),도시,1,15.0,전라북도 군산시 쌍천로 9 (개정동),35.9644829198353,126.756606635452
64,전라북도 군산시 진포안1길 15-3 (수송동),도시,1,64.0,전라북도 군산시 진포안1길 15-3 (수송동),35.9712035663902,126.719199960437
65,전라북도 군산시 진포안1길 28-16 (수송동),도시,1,75.0,전라북도 군산시 진포안1길 28-16 (수송동),35.9722295763136,126.72045414843
66,전라북도 군산시 진포안1길 26-7 (수송동),도시,1,37.0,전라북도 군산시 진포안1길 26-7 (수송동),35.9721772629602,126.720126933611
67,전라북도 군산시 축동안2길 7-8 (수송동),도시,1,50.0,전라북도 군산시 축동안2길 7-8 (수송동),35.9653431158535,126.712167434848
68,전라북도 군산시 축동안2길 2-1 (수송동),도시,1,32.0,전라북도 군산시 축동안2길 2-1 (수송동),35.9647415862024,126.712599864141
